id,title,description,created_at,updated_at,homepage,cached_slug,twitter_search_key,stack_search_key,created_by_id,last_updated_by_id
55,Regular Expressions,Matches text patterns,2011-10-03 17:45:15.073536,2011-10-03 17:45:15.122686,"",regular-expressions,"","",5,5
10,Capybara,"Capybara aims to simplify the process of integration testing Rack applications, such as Rails, Sinatra or Merb. Capybara simulates how a real user would interact with a web application. It is agnostic about the driver running your tests and currently comes with Rack::Test and Selenium support built in. HtmlUnit and env.js are supported through external gems.",2011-06-18 04:50:51.051653,2011-11-17 02:22:46.235608,"",capybara,gmassanek,capybara,1,1
59,UX,User Experience,2011-10-25 01:49:21.080218,2011-10-25 01:49:21.122237,"",ux,"","",1,1
67,Sass,Awesome Css,2011-11-17 17:06:35.753352,2011-11-17 17:06:35.801773,"",sass,"","",1,1
63,wireframing,A way to mock up the design of a website in order to get a feel for the UX ,2011-11-02 04:16:37.606963,2011-11-02 04:17:13.99032,"",wireframing,wireframing,"",1,1
71,Icon Set,Icons enough said,2011-11-26 22:04:50.337565,2011-11-26 22:05:59.199514,"",icon-set,"","",8,8
11,Cucumber,Cucumber: behavior driven development with elegance and joy,2011-06-18 04:50:58.649114,2011-12-03 00:00:22.774544,http://cukes.info/,cucumber,Cucumber gem,cucumber,1,1
13,Fabrication,Fabrication is an object generation framework for Ruby.,2011-06-18 04:51:17.819368,2011-09-22 02:09:50.028547,http://fabricationgem.org/,fabrication,fabrication gem,,1,1
5,Git,"Git is a free & open source, distributed version control system designed to handle everything from small to very large projects with speed and efficiency.",2011-06-18 04:49:47.609018,2011-09-22 02:09:50.065518,www.http://git-scm.com/,git,"","",1,1
6,Github,"Originally founded by Chris Wanstrath, PJ Hyett and Tom Preston-Werner as a project to simplify sharing code, GitHub has grown into an application used by nearly a million people to store over two million code repositories, making GitHub the largest code host in the world.",2011-06-18 04:50:05.279081,2011-09-22 02:09:50.076867,http://www.https://github.com/,github,github,,1,1
19,guard,Guard is a command line tool that easily handle events on files modifications.,2011-06-18 04:52:31.557866,2011-09-22 02:09:50.087094,https://github.com/guard,guard,guard gem,,1,1
